PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;
oct-24;;;;;;;;
(Número y Monto en miles de $);;;;;;;;
;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$
16;16202;COBQUECURA;494;104.614;544;115.813;1.038;220.428
16;16203;COELEMU;1.229;261.591;1.601;340.025;2.830;601.616
16;16204;NINHUE;448;95.872;499;105.031;947;200.904
16;16205;PORTEZUELO;413;87.656;525;111.015;938;198.671
16;16206;RANQUIL;476;100.538;615;130.945;1.091;231.482
16;16207;TREHUACO;425;90.947;480;101.747;905;192.694
16;16301;SAN CARLOS;3.742;794.042;4.795;1.015.637;8.537;1.809.679
16;16302;COIHUECO;1.366;289.938;1.619;339.996;2.985;629.935
16;16303;ÑIQUEN;915;194.620;1.039;221.215;1.954;415.835
16;16304;SAN FABIAN;333;70.430;403;85.035;736;155.464
16;16305;SAN NICOLAS;756;160.589;938;198.203;1.694;358.792
8;8101;CONCEPCION;11.354;2.351.850;17.690;3.720.993;29.044;6.072.843
8;8102;CORONEL;5.210;1.094.782;7.915;1.681.227;13.125;2.776.009
8;8103;CHIGUAYANTE;4.217;877.020;6.104;1.293.327;10.321;2.170.346
8;8104;FLORIDA;851;181.253;991;211.695;1.842;392.948
8;8105;HUALQUI;1.346;285.920;1.711;363.060;3.057;648.980
8;8106;LOTA;2.324;482.689;3.814;812.080;6.138;1.294.769
8;8107;PENCO;2.658;559.009;3.843;814.199;6.501;1.373.208
8;8108;SAN PEDRO DE LA PAZ;4.397;900.900;6.973;1.464.272;11.370;2.365.172
8;8109;SANTA JUANA;1.012;214.933;1.210;257.801;2.222;472.734
8;8110;TALCAHUANO;7.934;1.617.955;11.904;2.519.690;19.838;4.137.646
8;8111;TOME;3.472;732.182;4.981;1.053.534;8.453;1.785.716
8;8112;HUALPEN;4.351;905.275;7.056;1.494.581;11.407;2.399.856
8;8201;LEBU;1.283;271.053;1.796;379.288;3.079;650.341
8;8202;ARAUCO;2.097;441.655;2.639;561.887;4.736;1.003.542
8;8203;CAÑETE;2.126;452.450;2.700;569.988;4.826;1.022.438
8;8204;CONTULMO;427;90.900;503;106.991;930;197.891
8;8205;CURANILAHUE;1.784;377.111;2.467;518.441;4.251;895.552
8;8206;LOS ALAMOS;1.043;222.143;1.348;284.573;2.391;506.716
