PENSION GARANTIZADA UNIVERSAL (PGU);;;;;;;;;;;;;;;;;;;;;
dic-24;;;;;;;;;;;;;;;;;;;;;
(Número y Monto en miles de $);;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
Región;Cód. Comuna;Glosa Comuna;Nº Hombre;Monto m$ Hombre;Nº Mujer;Monto m$ Mujer;Total Nº;Total Mto. m$;;;;;;;;;;;;;
4;4305;RIO HURTADO;168;35.976;263;56.169;431;92.145;200;41.668;187;39.114;387;80.782;368;77.644;450;95.283;818;172.927;
5;5101;VALPARAISO;3.068;656.753;7.315;1.561.869;10.383;2.218.622;13.277;2.760.119;16.705;3.511.250;29.982;6.271.369;16.345;3.416.872;24.020;5.073.119;40.365;8.489.991;
5;5102;CASABLANCA;246;52.717;733;156.108;979;208.824;1.237;260.293;1.228;259.477;2.465;519.770;1.483;313.010;1.961;415.584;3.444;728.594;
5;5103;CONCON;309;66.217;980;209.819;1.289;276.037;1.564;316.316;2.192;453.236;3.756;769.552;1.873;382.534;3.172;663.055;5.045;1.045.588;
5;5104;JUAN FERNANDEZ;23;4.907;37;7.929;60;12.836;33;7.072;24;5.143;57;12.215;56;11.979;61;13.072;117;25.051;
5;5105;PUCHUNCAVI;304;65.146;623;133.506;927;198.652;1.067;219.558;1.065;223.367;2.132;442.925;1.371;284.704;1.688;356.873;3.059;641.577;
5;5107;QUINTERO;359;76.873;912;195.035;1.271;271.907;1.567;322.294;1.607;338.678;3.174;660.972;1.926;399.167;2.519;533.713;4.445;932.880;
5;5109;VIÑA DEL MAR;2.234;477.011;7.229;1.546.317;9.463;2.023.328;14.110;2.894.834;19.521;4.080.369;33.631;6.975.203;16.344;3.371.846;26.750;5.626.686;43.094;8.998.531;
5;5201;ISLA DE PASCUA;63;13.433;85;18.215;148;31.648;175;36.410;182;38.519;357;74.929;238;49.843;267;56.734;505;106.577;
5;5301;LOS ANDES;452;96.330;1.542;328.206;1.994;424.536;3.270;673.080;3.611;762.376;6.881;1.435.456;3.722;769.410;5.153;1.090.582;8.875;1.859.992;
5;5302;CALLE LARGA;55;11.786;224;48.002;279;59.789;664;139.622;531;112.049;1.195;251.670;719;151.408;755;160.051;1.474;311.459;
5;5303;RINCONADA;61;13.072;131;28.073;192;41.145;453;94.750;386;81.575;839;176.324;514;107.822;517;109.647;1.031;217.469;
5;5304;SAN ESTEBAN;127;27.156;365;78.218;492;105.374;861;178.641;786;165.360;1.647;344.001;988;205.797;1.151;243.578;2.139;449.375;
5;5401;LA LIGUA;677;144.806;1.325;282.617;2.002;427.423;1.859;391.653;1.791;379.869;3.650;771.522;2.536;536.458;3.116;662.486;5.652;1.198.945;
5;5402;CABILDO;225;48.142;644;136.996;869;185.138;1.123;236.532;955;202.275;2.078;438.807;1.348;284.674;1.599;339.271;2.947;623.945;
